Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
25-26;5;Chartres;Lattes Montpellier;76;73;0;1343.3538668670835;1648.4771469575876;1373.2;1627.16
25-26;5;Lyon;Landerneau;86;79;0;1507.544937379653;1426.9081208953257;1521.05;1417.26
25-26;6;Angers;Villeneuve d'Ascq;69;79;0;1528.4516560311342;1551.161606639099;1512.09;1562.85
25-26;6;Lattes Montpellier;Basket Landes;75;76;0;1627.158095003613;1680.7859776422656;1612.34;1691.37
25-26;6;Bourges;Lyon;71;63;0;1692.4785642159334;1521.05472775978;1701.98;1514.27
25-26;6;Toulouse;Charleville-Mézières;49;73;0;1474.595174895954;1569.405432706772;1461.76;1578.58
25-26;6;Charnay;Roche Vendée;79;71;0;1629.9144414732323;1387.3711405261633;1636.86;1382.41
25-26;6;Landerneau;Chartres;67;60;0;1417.2582706238065;1373.200539602648;1432.55;1362.28
25-26;7;Angers;Toulouse;78;60;0;1512.0939083431253;1461.7555663487828;1527.08;1451.05
25-26;7;Chartres;Basket Landes;58;77;0;1362.277201843774;1691.3717376256943;1357.7;1694.64
25-26;7;Bourges;Landerneau;82;68;0;1701.9826603697177;1432.5509434862302;1708.11;1428.18
25-26;7;Lyon;Charleville-Mézières;70;84;0;1514.266087649934;1578.576581669037;1499.97;1588.79
25-26;7;Charnay;Lattes Montpellier;50;68;0;1636.859182170491;1612.3380310268128;1618.13;1625.72
25-26;7;Roche Vendée;Villeneuve d'Ascq;70;73;0;1382.4106114566928;1562.845712130534;1373.26;1569.38
25-26;8;Landerneau;Angers;75;67;0;1428.1773012565038;1527.0760077295527;1450.53;1511.11
25-26;8;Basket Landes;Roche Vendée;72;47;0;1694.6402695211966;1373.2613629927073;1699.4;1369.86
25-26;8;Lattes Montpellier;Bourges;72;59;0;1625.7187884350146;1708.1057594913343;1647.29;1692.7
