Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
25-26;1;Championat de France;Domicile;;Bourges;;Starter;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;11;1;1;2;5;4;0;0;0;4;1;-5;8;2;Y. Enjolvy
25-26;1;Championat de France;Domicile;;Bourges;;Starter;C. Legrand;;;;;;;;0;0;;;;;0;0;;;;;;;;;3;3;1;4;2;2;2;1;0;4;2;1;10;7;C. Legrand
25-26;1;Championat de France;Domicile;;Bourges;;Starter;J. Bailey;;;;;;;;;;;0;3;0,00;;;;;;;;;;;18;2;9;11;5;5;5;0;0;5;10;3;25;10;J. Bailey
25-26;1;Championat de France;Domicile;;Bourges;Capitaine;Starter;K. Elenga(C);;;;;0;8;0,00;0;3;0,00;0;5;0,00;0;2;0,00;;;;;;;;0;2;2;4;0;0;0;0;1;0;2;10;-6;18;K. Elenga(C)
25-26;1;Championat de France;Domicile;;Bourges;;Starter;N. Enabosi;;;;;;;;;;;;;;;;;;;;;;;;15;0;7;7;1;1;1;0;1;2;4;4;17;33;N. Enabosi
25-26;1;Championat de France;Domicile;;Bourges;;Banc;J. Mavambou;;;;;0;5;0,00;0;4;0,00;0;1;0,00;0;0;;;;;;;;;0;0;2;2;0;0;1;0;1;0;0;-11;-2;8;J. Mavambou
25-26;1;Championat de France;Domicile;;Bourges;;Banc;A. Baker;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;15;A. Baker
25-26;1;Championat de France;Domicile;;Bourges;;Banc;E. Marie;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;E. Marie
25-26;1;Championat de France;Domicile;;Bourges;;Banc;E. Zemoura;;;;;;;;;;;0;1;0,00;;;;;;;;;;;5;0;1;1;0;0;1;0;1;4;1;-9;1;22;E. Zemoura
25-26;1;Championat de France;Domicile;;Bourges;;Banc;A. Kone;;;;;;;;;;;0;1;0,00;;;;;;;;;;;6;0;4;4;0;1;0;0;0;2;4;-13;3;26;A. Kone
25-26;1;Championat de France;Domicile;;Bourges;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;4;4;8;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;1;Championat de France;Domicile;;Bourges;;Banc;TOTAUX EQUIPE;;;;;18;57;0,32;14;35;0,40;;;;18;27;0,67;15;26;6;6;11;7;7;58;12;31;43;13;14;10;1;4;21;24;0;63;0;TOTAUX EQUIPE
25-26;2;Championat de France;Exterieur;;Charnay;;Starter;Y. Enjolvy;;;;;;;;;;;;;;;;;;;;;;;;8;0;0;0;9;1;1;0;0;4;1;-6;10;2;Y. Enjolvy
25-26;2;Championat de France;Exterieur;;Charnay;;Starter;C. Legrand;;;;;;;;;;;0;2;0,00;;;;;;;;;;;9;2;1;3;6;1;1;1;2;3;3;-14;12;7;C. Legrand
25-26;2;Championat de France;Exterieur;;Charnay;;Starter;J. Bailey;;;;;;;;;;;;;;0;0;;;;;;;;;9;2;7;9;2;6;2;0;0;5;3;-16;14;10;J. Bailey
25-26;2;Championat de France;Exterieur;;Charnay;;Starter;A. Kone;;;;;;;;;;;0;1;0,00;;;;;;;;;;;16;1;7;8;0;7;0;1;0;4;3;-12;12;26;A. Kone
25-26;2;Championat de France;Exterieur;;Charnay;;Starter;N. Enabosi;;;;;;;;;;;0;2;0,00;;;;;;;;;;;19;2;6;8;1;0;3;0;1;4;5;-8;20;33;N. Enabosi
25-26;2;Championat de France;Exterieur;;Charnay;;Banc;J. Mavambou;;;;;;;;;;;0;1;0,00;0;4;0,00;;;;;;;;2;1;2;3;1;2;0;0;0;3;2;-21;-1;8;J. Mavambou
25-26;2;Championat de France;Exterieur;;Charnay;Capitaine;Banc;K. Elenga(C);;;;;;;;0;0;;;;;0;0;;;;;;;;;3;0;4;4;1;2;0;0;2;0;0;0;1;18;K. Elenga(C)
25-26;2;Championat de France;Exterieur;;Charnay;;Banc;J. Francheteau;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-3;0;21;J. Francheteau
25-26;2;Championat de France;Exterieur;;Charnay;;Banc;E. Zemoura;;;;;;;;;;;0;1;0,00;;;;;;;;;;;8;1;2;3;2;3;0;0;2;1;2;5;6;22;E. Zemoura
25-26;2;Championat de France;Exterieur;;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;5;1;6;0;4;0;0;0;0;0;0;0;0;Team / Coach
25-26;2;Championat de France;Exterieur;;Charnay;;Banc;TOTAUX EQUIPE;;;;;29;69;0,42;26;47;0,55;;;;13;20;0,65;17;44;17;17;13;12;9;74;14;30;44;22;26;7;2;7;24;19;0;76;0;TOTAUX EQUIPE
25-26;3;Championat de France;Domicile;;Angers;;Starter;C. Legrand;;;;;;;;;;;;;;0;0;;;;;;;;;7;0;5;5;4;1;2;0;1;5;1;13;15;7;C. Legrand
25-26;3;Championat de France;Domicile;;Angers;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;23;4;7;11;1;3;1;0;0;3;4;18;27;10;J. Bailey
25-26;3;Championat de France;Domicile;;Angers;;Starter;E. Marie;;;;;0;3;0,00;0;0;;0;3;0,00;;;;;;;;;;;1;0;1;1;9;3;1;0;0;2;1;2;5;21;E. Marie
25-26;3;Championat de France;Domicile;;Angers;;Starter;A. Kone;;;;;;;;;;;0;0;;;;;;;;;;;;13;3;1;4;0;1;0;0;2;2;1;8;11;26;A. Kone
25-26;3;Championat de France;Domicile;;Angers;;Starter;N. Enabosi;;;;;;;;;;;0;0;;14;16;0,88;;;;;;;;24;3;5;8;2;1;2;0;0;1;10;7;30;33;N. Enabosi
25-26;3;Championat de France;Domicile;;Angers;;Banc;Y. Enjolvy;;;;;0;4;0,00;0;2;0,00;0;2;0,00;;;;;;;;;;;1;1;1;2;2;0;1;0;0;2;1;0;1;2;Y. Enjolvy
25-26;3;Championat de France;Domicile;;Angers;;Banc;J. Mavambou;;;;;;;;;;;0;0;;0;0;;;;;;;;;2;0;0;0;1;0;0;0;1;0;0;14;1;8;J. Mavambou
25-26;3;Championat de France;Domicile;;Angers;;Banc;A. Baker;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;6;1;0;1;7;1;1;0;0;3;1;1;10;15;A. Baker
25-26;3;Championat de France;Domicile;;Angers;Capitaine;Banc;K. Elenga(C);;;;;;;;;;;;;;;;;;;;;;;;12;0;1;1;0;1;0;0;0;3;4;-7;8;18;K. Elenga(C)
25-26;3;Championat de France;Domicile;;Angers;;Banc;E. Zemoura;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;1;0;-1;1;22;E. Zemoura
25-26;3;Championat de France;Domicile;;Angers;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;1;0;3;0;0;0;0;0;0;0;0;Team / Coach
25-26;3;Championat de France;Domicile;;Angers;;Banc;TOTAUX EQUIPE;;;;;30;59;0,51;25;42;0,60;;;;24;32;0,75;31;48;12;15;21;13;8;89;12;23;35;26;14;8;0;4;22;23;0;107;0;TOTAUX EQUIPE
25-26;4;Championat de France;Exterieur;;Toulouse;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;19;0;4;4;3;1;3;0;0;3;5;-2;23;10;J. Bailey
25-26;4;Championat de France;Exterieur;;Toulouse;;Starter;A. Baker;;;;;;;;;;;0;0;;;;;;;;;;;;7;0;2;2;5;1;2;0;0;2;2;-5;13;15;A. Baker
25-26;4;Championat de France;Exterieur;;Toulouse;Capitaine;Starter;K. Elenga(C);;;;;;;;;;;0;3;0,00;;;;;;;;;;;5;0;3;3;2;1;0;0;0;1;1;-5;6;18;K. Elenga(C)
25-26;4;Championat de France;Exterieur;;Toulouse;;Starter;E. Marie;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;4;3;0;0;0;2;1;2;2;21;E. Marie
25-26;4;Championat de France;Exterieur;;Toulouse;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;16;1;7;8;2;2;0;0;1;2;7;0;16;33;N. Enabosi
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;Y. Enjolvy;;;;;;;;0;0;;;;;0;1;0,00;;;;;;;;12;0;1;1;3;4;3;0;0;2;0;7;10;2;Y. Enjolvy
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;C. Legrand;;;;;;;;;;;;;;;;;;;;;;;;11;1;1;2;1;3;0;0;0;3;2;17;7;7;C. Legrand
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;J. Mavambou;;;;;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;1;1;1;0;0;0;0;0;1;7;1;8;J. Mavambou
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;E. Zemoura;;;;;0;0;;0;0;;0;0;;;;;;;;;;;;2;0;0;0;0;0;0;0;0;1;1;-4;2;22;E. Zemoura
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;A. Kone;;;;;;;;;;;;;;;;;;;;;;;;16;0;2;2;0;3;0;0;1;2;4;8;12;26;A. Kone
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;2;5;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;TOTAUX EQUIPE;;;;;29;55;0,53;19;31;0,61;;;;20;25;0,80;19;30;9;13;41;13;9;88;5;24;29;21;19;8;0;2;18;24;0;96;0;TOTAUX EQUIPE
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;C. Legrand;;;;;;;;;;;0;2;0,00;;;;;;;;;;;8;1;2;3;3;3;1;2;0;2;2;-3;11;7;C. Legrand
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;10;2;9;11;2;0;4;0;0;5;4;2;19;10;J. Bailey
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;E. Marie;;;;;;;;0;1;0,00;;;;;;;;;;;;;;7;0;1;1;6;0;0;0;0;2;1;5;10;21;E. Marie
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;A. Kone;;;;;;;;;;;0;2;0,00;;;;;;;;;;;10;2;1;3;0;3;0;0;0;2;2;-11;4;26;A. Kone
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;N. Enabosi;;;;;;;;;;;0;2;0,00;;;;;;;;;;;14;5;8;13;4;2;0;0;1;1;8;15;18;33;N. Enabosi
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;Y. Enjolvy;;;;;;;;0;1;0,00;;;;;;;;;;;;;;13;2;1;3;0;1;2;0;0;1;1;6;13;2;Y. Enjolvy
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;J. Mavambou;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;4;1;2;3;0;0;1;0;0;0;0;-1;4;8;J. Mavambou
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;A. Baker;;;;;;;;;;;0;2;0,00;0;1;0,00;;;;;;;;4;1;0;1;2;0;0;0;0;0;1;-1;2;15;A. Baker
25-26;5;Championat de France;Domicile;;Lattes Montpellier;Capitaine;Banc;K. Elenga(C);;;;;;;;0;2;0,00;;;;0;1;0,00;;;;;;;;6;0;1;1;1;2;0;0;0;0;1;3;-1;18;K. Elenga(C)
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;E. Zemoura;;;;;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;0;0;1;1;1;0;0;1;0;0;0;22;E. Zemoura
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;5;5;0;2;0;0;0;0;0;0;0;0;Team / Coach
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;24;67;0,36;15;34;0,44;;;;19;29;0,66;30;26;15;9;27;7;11;76;14;30;44;19;14;9;2;1;14;20;0;83;0;TOTAUX EQUIPE
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;C. Legrand;;;;;;;;;;;0;0;;;;;;;;;;;;3;2;1;3;0;0;1;0;1;1;2;-6;4;7;C. Legrand
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;10;1;3;4;3;5;5;0;1;3;3;-5;5;10;J. Bailey
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;E. Marie;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;2;0;1;1;0;0;0;0;0;1;2;-4;-1;21;E. Marie
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;A. Kone;;;;;;;;;;;0;2;0,00;;;;;;;;;;;17;2;4;6;0;1;0;1;1;3;4;-4;18;26;A. Kone
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;10;2;3;5;0;1;1;0;1;2;3;-10;11;33;N. Enabosi
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;7;0;2;2;2;4;1;0;0;2;1;1;0;2;Y. Enjolvy
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;J. Mavambou;;;;;;;;;;;0;0;;0;0;;;;;;;;;4;1;3;4;0;0;1;0;0;1;1;0;9;8;J. Mavambou
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;A. Baker;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;4;0;2;2;3;1;1;0;0;2;1;-2;4;15;A. Baker
25-26;6;Championat de France;Exterieur;;Landerneau;Capitaine;Banc;K. Elenga(C);;;;;;;;0;0;;;;;0;0;;;;;;;;;3;0;6;6;0;1;0;0;1;3;0;0;4;18;K. Elenga(C)
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;E. Zemoura;;;;;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;3;0;-5;-2;22;E. Zemoura
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;3;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;TOTAUX EQUIPE;;;;;24;67;0,36;21;41;0,51;;;;;;;18;36;10;3;18;7;8;60;8;28;36;8;14;10;1;5;21;17;0;55;0;TOTAUX EQUIPE
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;Y. Enjolvy;;;;;;;;;;;0;3;0,00;;;;;;;;;;;4;0;2;2;2;2;1;0;0;1;2;-1;2;2;Y. Enjolvy
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;C. Legrand;;;;;;;;;;;;;;;;;;;;;;;;14;0;1;1;1;4;3;2;0;3;3;-11;13;7;C. Legrand
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;J. Bailey;;;;;;;;;;;0;2;0,00;;;;;;;;;;;8;1;3;4;3;4;1;0;1;3;2;-8;5;10;J. Bailey
